k,user_mae,user_rmse,item_mae,item_rmse
1,0.9127983924695469,1.1855917947891637,0.9107151332014902,1.186002642151197
5,0.7462928912090278,0.9664801502610482,0.7611960596612322,0.9902144646091111
10,0.7228197007226338,0.9393664044940013,0.7347989603826101,0.958286467044552
15,0.7148028572247318,0.9301164331240818,0.7258734574427713,0.9458714945111912
20,0.7109705908285264,0.9263191420577043,0.7172633255034088,0.9367130787880276
25,0.70933210941889,0.9243949571860108,0.7152018622795293,0.933329920395918
30,0.7077043572842985,0.9226211347581439,0.7140223836100279,0.9321627763668433
35,0.7081374351957915,0.9237980364710712,0.7115473441300442,0.9294014579696885
40,0.7089909214447593,0.9251242602600651,0.7098756780545494,0.9267198499069904
45,0.707703676513428,0.9237925174430611,0.7096169049143316,0.9257560824442777
50,0.7073157844160401,0.9233998502066916,0.7090833750675521,0.9259427859070826
55,0.7067629546300928,0.9233493709656326,0.7090675137886426,0.9264041024092478
60,0.7057079464853668,0.9218495375746469,0.7073792668798966,0.9238915592178065
65,0.7071281403265604,0.9238022624282809,0.7082586750107538,0.9235330836774647
70,0.706398394849536,0.9228691440441782,0.7060599527153271,0.9221968167881854
75,0.7072572842339497,0.9241775399896943,0.7065871102408623,0.9226995318734532
80,0.7064732282893738,0.9231609052105171,0.706700215232767,0.9227610907762486
85,0.7073601930307838,0.9244889234505023,0.7065492187962411,0.9226088567189057
90,0.7072002369949365,0.9236858678990452,0.7058628706704919,0.9221780697250054
95,0.7069574554743288,0.9238406161006434,0.7045885705812679,0.9201588825766119
100,0.7078438988010808,0.925203956318974,0.7044511694289672,0.9198096265152993
