k,user_mae,user_rmse,item_mae,item_rmse
50,0.7069862485472573,0.9232229361823878,0.7096514289218876,0.9268678909685297
51,0.7076094105429244,0.9247012344280112,0.7103969946464911,0.9281943953968179
52,0.706754959509649,0.9229239148260101,0.7073273864293939,0.9242419063382622
53,0.7077590791322578,0.9243105164464958,0.7093136081913022,0.9266658043172418
54,0.7064081354938175,0.9225571784949557,0.7080224133172166,0.9250986818323177
55,0.7070515586555104,0.9232908944794087,0.7073011181737094,0.9238536055316191
56,0.7067281894451949,0.9234584952483301,0.7082630235923519,0.9250763706538578
57,0.7071988515303479,0.9240307190533956,0.7073276353258942,0.9235880138281065
58,0.7073745257046637,0.9238983764834883,0.7079450792511822,0.9247641029558779
59,0.7070052972875985,0.9237149476480557,0.708382519429924,0.9251716412748238
60,0.7073614561503015,0.9239835512080005,0.708134842633449,0.9241205914678765
61,0.707269334070231,0.9238255837788939,0.7073880991011912,0.9247378267999646
62,0.705997095227245,0.9226200439074376,0.7077714253387435,0.9240302172861364
63,0.7079426727378332,0.9240312669497529,0.7077918117957382,0.9243737528016782
64,0.7076156146006426,0.9244171907330653,0.7077777283511972,0.9246148581185046
65,0.7065190215117559,0.9227688961386316,0.7066995642163649,0.923520846707504
66,0.7060231000038291,0.9221268336244977,0.7075673196128931,0.9238289125157777
67,0.7079197083072359,0.9246408699034016,0.707041740751275,0.9227287720595798
68,0.7079217058622203,0.9251256052014852,0.7064463127465412,0.9224139885417069
69,0.7075688738172078,0.9242040807390502,0.7065193720020477,0.9226974803921774
70,0.7069218798563301,0.9233633972489859,0.7065366027041506,0.9225302946823722
90,0.7064198561226641,0.9237401557061885,0.7069367731897689,0.923282584070979
91,0.7083014347180617,0.9255988039997843,0.7054579815175709,0.9215002709074742
92,0.7068988595036411,0.9239275010456067,0.7043052040878135,0.9201099050358076
93,0.707112092083227,0.9246449400845117,0.705359204807853,0.9210815181974148
94,0.7073112202465834,0.9237408079775641,0.7058969898085463,0.922149409179607
95,0.7063488715480062,0.922460852532853,0.7052521824101683,0.9208710296111127
96,0.7066909976541921,0.9231389553798867,0.7045787433413673,0.9206897306583286
97,0.7079089858811788,0.9252108271030843,0.7061514992396924,0.9220917274331946
98,0.7075451681490167,0.9241212326325037,0.7051517854438021,0.9207672411902539
99,0.7078236631704548,0.9247844885503904,0.7055351310789445,0.9217013916480663
100,0.7063587953974706,0.9232678901957165,0.7068424973327689,0.9229160777194485
101,0.7076463869271026,0.9253397964281025,0.7040921933205726,0.9198158630090427
102,0.7086468285421343,0.9260240542005812,0.7049760771122158,0.9208490123614036
103,0.7080059910173164,0.9252405446724173,0.7043076951122993,0.9198144258582619
104,0.7082234451897297,0.9249587584137648,0.7046999491930148,0.9207555903631167
105,0.7078652004142785,0.9253491546902175,0.7052513922192277,0.9210968375380428
106,0.7068667049389978,0.923585386317168,0.704722938798214,0.9202047138372279
107,0.7062965565073209,0.9230167678605803,0.7052877128946187,0.9208667432265667
108,0.707241824008735,0.9241604026159868,0.7061046051151338,0.9214218150370843
109,0.7073138946513079,0.9241125378588736,0.7041639421836031,0.918888076757557
110,0.7075678174939238,0.9246196367653539,0.7064852804661379,0.9232382011581995
