model,sim,MAE,RMSE
User-CF,cosine,0.7075919150745478,0.9240315644136446
Item-CF,cosine,0.7106872573997962,0.9277517713777488
User-CF,msd,0.7043177651524699,0.9205684933656414
Item-CF,msd,0.7014113787175706,0.9161127746679967
User-CF,pearson,0.7052197159852547,0.9252242649313773
Item-CF,pearson,0.707333762190881,0.9290811766745039
